S28885,2005-041B,Syracuse 3A,Syracuse 3A,2457867.37,2017 Apr 23 2052,GEO/S,1436.114,35774,35799,0.02,46.99E,0.011W
S28884,2005-041A,Galaxy 15,Galaxy 15,2457866.55,2017 Apr 23 117,GEO/S,1436.051,35778,35793,0.05,132.96W,0.004E
S28899,2005-044A,INMARSAT 4 F2,INMARSAT 4 F2,2457866.77,2017 Apr 23 621,GEO/S,1436.103,35775,35797,2.56,63.87E,0.009W
S28903,2005-046B,Spaceway 2,Spaceway F2,2457866.97,2017 Apr 23 1116,GEO/S,1436.104,35786,35787,0.05,99.06W,0.009W
S28902,2005-046A,Telkom 2,Telkom 2,2457865.29,2017 Apr 21 1854,GEO/S,1436.147,35783,35791,0.03,117.92E,0.020W
S28911,2005-049A,Insat 4A,Insat 4A,2457866.68,2017 Apr 23 422,GEO/S,1436.096,35771,35801,0.1,83.03E,0.007W
S28912,2005-049B,Meteosat 9,MSG 2,2457866.74,2017 Apr 23 551,GEO/S,1436.14,35785,35789,2.1,9.28E,0.018W
S28924,2005-052A,EUTELSAT 172A,Americom 23,2457867.03,2017 Apr 23 1246,GEO/S,1436.103,35762,35811,0.07,172.00E,0.009W
S28935,2006-003A,Echostar X,Echostar 10,2457866.98,2017 Apr 23 1136,GEO/S,1436.112,35780,35793,0.06,110.18W,0.011W
S28937,2006-004A,Himawari-7,MTSAT-2,2457866.41,2017 Apr 22 2146,GEO/S,1436.138,35772,35802,0.06,144.94E,0.017W
